# Chord voicing table: literal chord symbols → root note and semitone offsets
# Format: ChordSymbol<TAB>Root<TAB>Offset1,Offset2,Offset3,...
# Lines starting with # are comments
# Root is placed at C3 (MIDI 48), offsets are semitones above root
Cmaj7	C	0,4,7,11
C7	C	0,4,7,10
Cmaj9	C	0,4,7,11,14
C6	C	0,4,7,9
Cmin7	C	0,3,7,10
Cm7	C	0,3,7,10
Cm	C	0,3,7
Cmin	C	0,3,7
Cdim7	C	0,3,6,9
Cdim	C	0,3,6
Caug	C	0,4,8
C+	C	0,4,8
C+7	C	0,4,8,10
C	C	0,4,7
C#maj7	C#	0,4,7,11
C#7	C#	0,4,7,10
C#m7	C#	0,3,7,10
C#m	C#	0,3,7
C#	C#	0,4,7
Dbmaj7	Db	0,4,7,11
Db7	Db	0,4,7,10
Db	Db	0,4,7
Dmaj7	D	0,4,7,11
D7	D	0,4,7,10
D9	D	0,4,7,10,14
D13	D	0,4,7,10,14,21
Dm7	D	0,3,7,10
Dm	D	0,3,7
D	D	0,4,7
Ebmaj7	Eb	0,4,7,11
Eb7	Eb	0,4,7,10
Eb6	Eb	0,4,7,9
Eb	Eb	0,4,7
Emaj7	E	0,4,7,11
E7	E	0,4,7,10
E+7	E	0,4,8,10
E6	E	0,4,7,9
Edim7	E	0,3,6,9
Em7	E	0,3,7,10
Em	E	0,3,7
E	E	0,4,7
Fmaj7	F	0,4,7,11
F7	F	0,4,7,10
F9	F	0,4,7,10,14
F6	F	0,4,7,9
Fm6	F	0,3,7,9
Fm7	F	0,3,7,10
Fm	F	0,3,7
F	F	0,4,7
F#maj7	F#	0,4,7,11
F#7	F#	0,4,7,10
F#m7	F#	0,3,7,10
F#m	F#	0,3,7
F#+	F#	0,4,8
F#	F#	0,4,7
Gbmaj7	Gb	0,4,7,11
Gb	Gb	0,4,7
Gmaj7	G	0,4,7,11
G7	G	0,4,7,10
G13	G	0,4,7,10,14,21
Gm7	G	0,3,7,10
Gm	G	0,3,7
G+	G	0,4,8
G	G	0,4,7
G#dim6	G#	0,3,6,9
G#m	G#	0,3,7
G#	G#	0,4,7
Abmaj7	Ab	0,4,7,11
Ab7	Ab	0,4,7,10
Abdim7	Ab	0,3,6,9
Ab	Ab	0,4,7
Amaj7	A	0,4,7,11
A7	A	0,4,7,10
A+7	A	0,4,8,10
Am7	A	0,3,7,10
Am	A	0,3,7
A	A	0,4,7
Bbmaj7	Bb	0,4,7,11
Bb7	Bb	0,4,7,10
Bb6	Bb	0,4,7,9
Bbm7	Bb	0,3,7,10
Bb	Bb	0,4,7
Bmaj7	B	0,4,7,11
B7	B	0,4,7,10
Bm7	B	0,3,7,10
Bm9	B	0,3,7,10,14
Bdim7	B	0,3,6,9
Bm	B	0,3,7
B	B	0,4,7
